City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
151,New Norfolk,AU,2019-11-11 05:04:57,-42.78,147.06,75.99,17,85,28.86,overcast clouds,0,0
152,Pitimbu,BR,2019-11-11 05:04:58,-7.47,-34.81,73.15,84,6,5.57,clear sky,0,0
153,Bandar-E Lengeh,IR,2019-11-11 05:04:58,26.56,54.88,68.0,60,0,6.93,clear sky,0,0
154,Podyuga,RU,2019-11-11 05:04:58,61.09,40.86,38.37,99,100,5.59,light rain,2.56,0
155,Portoferraio,IT,2019-11-11 05:04:58,42.81,10.31,55.99,87,75,10.29,light rain,0,0
156,Lazaro Cardenas,MX,2019-11-11 05:04:59,28.39,-105.62,66.2,68,40,8.05,scattered clouds,0,0
157,Ponta Do Sol,BR,2019-11-11 05:04:59,-20.63,-46.0,68.2,86,82,3.13,broken clouds,0,0
158,Sokoto,NG,2019-11-11 05:04:59,13.06,5.24,76.77,34,100,1.7,overcast clouds,0,0
159,Corrente,BR,2019-11-11 05:05:00,-17.45,-44.68,71.76,47,69,5.75,broken clouds,0,0
160,Barrow,AR,2019-11-11 05:05:00,-38.31,-60.23,56.12,91,83,11.56,broken clouds,0,0
161,Hervey Bay,AU,2019-11-11 05:05:00,-25.3,152.85,86.0,33,0,16.11,clear sky,0,0
162,Caravelas,BR,2019-11-11 05:05:01,-17.73,-39.27,69.28,96,4,7.2,clear sky,0,0
163,Kouango,CF,2019-11-11 05:05:01,4.99,19.98,75.07,73,100,1.21,overcast clouds,0,0
164,Sirsaganj,IN,2019-11-11 05:05:01,27.06,78.69,82.65,30,2,3.65,clear sky,0,0
165,Gornopravdinsk,RU,2019-11-11 05:05:01,60.06,69.92,14.63,84,97,8.77,overcast clouds,0,0
166,East London,ZA,2019-11-11 05:04:01,-33.02,27.91,64.4,93,90,13.87,light rain,0,0
167,Nampa,US,2019-11-11 05:05:02,43.57,-116.56,50.0,75,100,4.7,overcast clouds,0,0
168,San Juan,AR,2019-11-11 05:05:02,-31.54,-68.53,75.65,44,2,25.9,clear sky,0,0
169,Matamoros,US,2019-11-11 05:05:03,25.87,-97.51,73.99,73,90,5.82,overcast clouds,0,0
170,Komsomolskiy,RU,2019-11-11 05:05:03,67.55,63.78,6.21,95,100,8.97,light snow,0,0.62
171,Port Elizabeth,US,2019-11-11 05:05:03,39.31,-74.98,51.01,84,1,4.7,clear sky,0,0
172,Baiyin,CN,2019-11-11 05:05:03,36.55,104.13,46.4,45,20,2.24,few clouds,0,0
173,Yar-Sale,RU,2019-11-11 05:05:04,66.83,70.83,-4.67,89,50,11.01,scattered clouds,0,0
174,Tarrafal,CV,2019-11-11 05:05:04,15.28,-23.77,75.2,78,20,16.11,few clouds,0,0
175,Sijunjung,ID,2019-11-11 05:05:05,-0.69,100.95,87.82,54,100,3.27,overcast clouds,0,0
176,Clyde River,CA,2019-11-11 05:05:05,70.47,-68.59,12.2,100,100,29.97,light snow,0,0
177,San Agustin,VE,2019-11-11 05:05:05,10.2,-63.54,69.48,95,94,2.93,overcast clouds,0,0
178,Quang Ngai,VN,2019-11-11 05:05:05,15.12,108.8,79.72,84,68,20.71,moderate rain,5.69,0
179,Avarua,CK,2019-11-11 05:05:06,-21.21,-159.78,71.6,88,27,8.05,light rain,0,0
180,Adrar,DZ,2019-11-11 05:05:06,27.87,-0.29,51.8,34,2,4.7,clear sky,0,0
181,Berdigestyakh,RU,2019-11-11 05:05:06,62.1,126.7,-4.13,78,100,9.26,overcast clouds,0,0
182,Ayia Galini,GR,2019-11-11 05:05:06,35.1,24.68,66.99,82,75,2.24,broken clouds,0,0
183,Port Lincoln,AU,2019-11-11 05:05:07,-34.72,135.86,91.58,10,36,29.68,scattered clouds,0,0
184,Altagracia De Orituco,VE,2019-11-11 05:05:07,9.86,-66.38,69.33,99,98,2.95,overcast clouds,0,0
185,Aksu,KZ,2019-11-11 05:05:07,52.04,76.93,14.0,92,40,2.24,scattered clouds,0,0
186,Duyure,HN,2019-11-11 05:05:08,13.63,-86.82,64.4,93,75,4.7,shower rain,0,0
187,Nome,US,2019-11-11 05:05:08,30.04,-94.42,63.0,93,1,3.36,clear sky,0,0
188,Torbay,CA,2019-11-11 05:05:08,47.66,-52.73,34.0,86,20,8.05,few clouds,0,0
189,Martapura,ID,2019-11-11 05:05:08,-3.41,114.85,92.57,44,41,8.16,scattered clouds,0,0
190,Michalovce,SK,2019-11-11 05:05:08,48.75,21.92,42.8,87,90,4.7,overcast clouds,0,0
191,Masterton,NZ,2019-11-11 05:05:09,-40.95,175.66,60.01,64,87,5.01,light rain,0.13,0
192,Nichinan,JP,2019-11-11 05:05:09,31.65,131.31,71.6,56,40,17.22,scattered clouds,0,0
193,Brigg,GB,2019-11-11 05:05:09,53.55,-0.49,43.0,100,100,18.34,heavy intensity rain,0,0
194,Singkang,MY,2019-11-11 05:05:09,2.1,102.8,77.0,88,75,2.24,thunderstorm with light rain,0,0
195,Togur,RU,2019-11-11 05:05:10,58.36,82.83,6.93,75,0,4.81,clear sky,0,0
196,Deep River,CA,2019-11-11 05:00:15,46.1,-77.49,21.2,57,90,10.29,overcast clouds,0,0
197,Alasehir,TR,2019-11-11 05:05:10,38.35,28.52,60.01,85,98,5.99,light rain,0.19,0
198,Kalmunai,LK,2019-11-11 05:05:10,7.42,81.82,81.39,70,0,3.91,clear sky,0,0
199,Okhotsk,RU,2019-11-11 05:05:11,59.36,143.24,10.47,78,25,9.6,scattered clouds,0,0
200,Orbetello,IT,2019-11-11 05:05:11,42.44,11.21,53.6,87,75,10.29,light rain,0,0
201,Vostok,RU,2019-11-11 05:05:11,46.45,135.83,34.83,98,100,4.83,snow,0,2.88
202,Riyadh,SA,2019-11-11 05:05:11,24.63,46.72,69.8,60,23,2.24,few clouds,0,0
203,Nantucket,US,2019-11-11 05:05:12,41.28,-70.1,48.99,61,1,3.36,clear sky,0,0
204,Fortuna,US,2019-11-11 05:05:12,40.6,-124.16,53.01,100,90,1.97,overcast clouds,0,0
205,Bredasdorp,ZA,2019-11-11 05:05:12,-34.53,20.04,66.0,82,99,13.87,overcast clouds,0,0
206,Zhigansk,RU,2019-11-11 05:05:12,66.77,123.37,-13.24,91,54,8.32,broken clouds,0,0
207,Kachug,RU,2019-11-11 05:05:13,53.96,105.89,9.41,56,100,6.26,overcast clouds,0,0
208,Kovdor,RU,2019-11-11 05:05:13,67.56,30.47,3.76,98,90,3.04,overcast clouds,0,0
209,Bethel,US,2019-11-11 05:05:13,60.79,-161.76,41.0,80,90,10.29,light rain,0,0
210,Lugovoy,RU,2019-11-11 05:05:14,59.72,65.88,17.67,89,100,9.19,overcast clouds,0,0
211,Krasnogvardeyets,RU,2019-11-11 05:05:14,46.16,39.17,50.94,71,0,5.03,clear sky,0,0
212,Namibe,AO,2019-11-11 05:05:14,-15.19,12.15,74.75,82,0,9.6,clear sky,0,0
213,Conceicao Do Araguaia,BR,2019-11-11 05:00:21,-8.26,-49.26,73.78,91,96,1.9,overcast clouds,0,0
214,Margate,AU,2019-11-11 05:05:14,-43.03,147.26,75.99,17,100,28.86,overcast clouds,0,0
215,Isla Vista,US,2019-11-11 05:00:38,34.41,-119.86,60.01,93,1,2.57,mist,0,0
216,Saldanha,PT,2019-11-11 05:05:15,41.42,-6.55,43.9,95,100,1.5,overcast clouds,0,0
217,Mon,IN,2019-11-11 05:05:15,26.73,95.03,67.28,95,94,2.28,light rain,2.44,0
218,Beyneu,KZ,2019-11-11 05:05:15,45.32,55.19,43.61,59,0,16.89,clear sky,0,0
219,Husavik,CA,2019-11-11 05:05:16,50.56,-96.99,1.99,82,44,4.0,scattered clouds,0,0
220,Kahului,US,2019-11-11 05:05:16,20.89,-156.47,80.6,69,40,13.87,scattered clouds,0,0
221,Matagami,NG,2019-11-11 05:05:16,9.67,8.4,62.6,77,96,11.41,overcast clouds,0,0
222,Salinopolis,BR,2019-11-11 05:05:16,-0.61,-47.36,81.48,81,81,13.4,broken clouds,0,0
223,Asten,NL,2019-11-11 05:05:17,51.4,5.74,42.01,93,90,8.05,mist,0,0
224,Palmer,AU,2019-11-11 05:05:17,-34.85,139.16,91.99,7,35,25.28,scattered clouds,0,0
225,Ilulissat,GL,2019-11-11 05:05:17,69.22,-51.1,42.8,33,100,20.8,overcast clouds,0,0
226,Gazojak,TM,2019-11-11 05:05:17,41.19,61.4,46.54,36,0,14.34,clear sky,0,0
227,Cabra,ES,2019-11-11 05:05:17,37.47,-4.43,53.6,66,93,5.82,overcast clouds,0,0
228,Acapulco,MX,2019-11-11 05:02:26,16.86,-99.88,84.2,83,40,3.36,scattered clouds,0,0
229,Atikokan,CA,2019-11-11 05:05:18,48.76,-91.62,3.88,73,40,8.52,scattered clouds,0,0
230,Nijar,ES,2019-11-11 05:05:18,36.97,-2.21,59.0,33,65,19.46,broken clouds,0,0
231,Kaitangata,NZ,2019-11-11 05:05:19,-46.28,169.85,48.99,60,100,14.0,overcast clouds,0,0
232,Tuatapere,NZ,2019-11-11 05:05:19,-46.13,167.69,51.01,62,70,11.01,light rain,0.12,0
233,Ipameri,BR,2019-11-11 05:05:19,-17.72,-48.16,67.59,78,20,3.38,few clouds,0,0
234,Kaeo,NZ,2019-11-11 05:01:34,-35.1,173.78,57.99,100,100,19.55,light rain,1.94,0
235,Pandhurna,IN,2019-11-11 05:05:20,21.6,78.53,80.78,48,0,7.78,clear sky,0,0
236,Santo Domingo,DO,2019-11-11 05:04:55,18.48,-69.94,77.0,94,40,4.7,scattered clouds,0,0
237,Coahuayana,MX,2019-11-11 05:05:20,18.62,-100.35,72.45,80,14,2.19,few clouds,0,0
238,Challapata,BO,2019-11-11 05:05:20,-18.9,-66.78,48.24,77,100,17.45,light rain,1.56,0
239,Hami,CN,2019-11-11 05:05:20,42.84,93.51,48.33,29,69,9.48,broken clouds,0,0
240,Itanhaem,BR,2019-11-11 05:00:23,-24.18,-46.79,68.0,88,75,1.23,broken clouds,0,0
241,Saint Anthony,US,2019-11-11 05:05:21,43.97,-111.68,42.01,64,75,8.05,broken clouds,0,0
242,Thompson,CA,2019-11-11 05:05:21,55.74,-97.86,-22.01,74,40,2.24,scattered clouds,0,0
243,San Lorenzo,HN,2019-11-11 05:05:21,13.43,-87.45,72.57,91,88,2.55,light rain,0.19,0
244,Crestview,US,2019-11-11 05:05:22,30.76,-86.57,54.0,87,1,1.23,mist,0,0
245,Finschhafen,PG,2019-11-11 05:05:22,-6.6,147.85,80.64,80,100,15.52,moderate rain,3.69,0
